Future_Day_Number,Predicted_Sales
40,9585.044245726796
41,9347.056168785806
42,9109.068091844816
43,8871.080014903826
44,8633.091937962836
45,8395.103861021846
46,8157.1157840808555
47,7919.127707139865
48,7681.139630198875
49,7443.151553257885
50,7205.163476316895
51,6967.175399375905
52,6729.187322434915
53,6491.1992454939245
54,6253.211168552934
55,6015.223091611944
56,5777.235014670954
57,5539.246937729964
58,5301.258860788974
59,5063.270783847984
60,4825.282706906994
61,4587.294629966003
62,4349.306553025013
63,4111.318476084023
64,3873.330399143033
65,3635.342322202043
66,3397.3542452610527
67,3159.3661683200626
68,2921.3780913790724
69,2683.3900144380823
